PIVlab, ASCII chart output - 19-Jun-2022
FRAME: 1, filenames: A: 0.png & B: 1.png, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
193,145,0.5121649901,-0.0001737275117,1
193,161,0.1880683104,-0.04094711925,1
193,177,0.09425536791,-0.08440605786,1
193,193,0.04105750718,-0.05921951918,1
193,209,-0.02949913346,-0.01394669204,1
193,225,-0.1326981386,0.009866555622,1
193,241,-0.2560787996,0.003877480902,1
193,257,-0.3400727114,0.008029778862,1
193,273,-0.3330536684,0.03971465434,1
193,289,-0.2559567293,-0.006574789645,1
193,305,-0.1461029848,-0.07763115562,1
193,321,0.002208630159,-0.07352844873,1
193,337,0.01562110575,0.01172049841,1
193,353,0.07443801554,-0.02501503627,1
193,369,0.1661929289,-0.07413117092,1
193,385,0.3448390165,-0.00519959134,1
193,401,0.8692931333,0.0494230588,1
209,17,-0.6508980592,-0.08923164988,1
209,33,-0.2078343232,-0.05969826365,1
209,49,-0.1038132508,-0.02206246043,1
209,65,-0.0009690125443,-0.1122781434,1
209,81,0.1993483703,-0.1187898316,1
209,97,0.3676280181,-0.112182776,1
209,113,0.4865550201,-0.1028501191,1
209,129,0.2958010833,-0.07346741345,1
209,145,0.2764109771,-0.04581467298,1
209,161,0.06423942252,-0.01935402541,1
209,177,0.02506629628,0.07893546432,1
209,193,0.02371017139,0.1651323637,1
209,209,-0.06806381544,0.06494124738,1
209,225,-0.1112004121,0.006389459034,1
209,241,-0.1470127901,0.004882653598,1
209,257,-0.4544125398,0.1072252592,1
209,273,-0.1757603487,-0.04031197229,1
209,289,-0.1678295931,-0.07497612636,1
209,305,-0.2437783083,-0.1129991214,1
209,321,-0.04649933186,-0.0959512393,1
209,337,0.01056853923,-0.1916505496,1
209,353,0.1251639524,-0.1115991275,1
209,369,0.2103079954,-0.04267326998,1
209,385,0.2823561827,-0.06547371554,1
209,401,0.42090408,0.02485640836,1
225,17,-0.2354050477,-0.1273347536,1
225,33,-0.2610226471,-0.1242181459,1
225,49,-0.1116410096,-0.120618979,1
225,65,-0.02817352605,-0.2600709596,1
225,81,0.04739371944,-0.2052175203,1
225,97,0.2522200744,-0.1355096498,1
225,113,0.478692929,-0.0912458101,1
225,129,0.4001921814,0.02146705,1
225,145,0.344337384,0.06349166243,1
225,161,0.1537055175,0.02010711042,1
225,177,-0.02374656989,0.1857260069,1
225,193,-0.06013687448,0.2474973997,1
225,209,-0.198040088,0.176059564,1
225,225,-0.3265171846,0.05197127663,1
225,241,-0.3717289766,0.07924064001,1
225,257,-0.2438221773,0.09237082798,1
225,273,-0.2187329134,-0.1108552615,1
225,289,-0.2162457308,-0.1666299503,1
225,305,-0.1001835665,-0.1412831943,1
225,321,-0.07604988421,-0.1070367496,1
225,337,0.1196402708,-0.2359544437,1
225,353,0.1779879728,-0.2754899662,1
225,369,0.08886710798,-0.07407395058,1
225,385,0.1504344145,-0.07015816384,1
225,401,0.4179457823,0.02999671286,1
241,17,-0.2316399414,-0.1383153597,1
241,33,-0.07621582337,-0.1209642092,1
241,49,-0.0230236847,-0.2373124758,1
241,65,-0.02466781922,-0.2088090578,1
241,81,0.03773109131,-0.321735541,1
241,97,0.1662768524,-0.0761720339,1
241,113,0.1371249359,-0.04730431234,1
241,129,0.03378287963,0.03230460489,1
241,145,0.09184257201,0.1407450041,1
